date_surveyed,user_id,state,municipio,hour_wait
2020-10-26 18:03:55.081 UTC,6586293653078016,Distrito Capital,Libertador,5
2020-10-26 17:03:19.298 UTC,5518068009926656,Distrito Capital,Libertador,4
2020-10-26 16:42:02.135 UTC,6002361274466304,Distrito Capital,Libertador,5
2020-10-26 16:15:10.726 UTC,4827034182483968,Distrito Capital,Libertador,9
2020-10-25 18:25:46.319 UTC,6622789959155712,Distrito Capital,Libertador,1
2020-10-25 18:24:54.768 UTC,6622789959155712,Distrito Capital,Libertador,1
2020-10-25 16:08:05.721 UTC,6480176688136192,Distrito Capital,Libertador,6
2020-10-24 20:03:29.502 UTC,4685860065247232,Distrito Capital,Libertador,3
2020-10-24 18:04:14.678 UTC,5661969237934080,Miranda,Carrizal,2
2020-10-24 17:54:02.074 UTC,4733525250539520,Miranda,Baruta,5
2020-10-24 17:50:12.804 UTC,5965706962403328,Miranda,Baruta,5
2020-10-24 17:50:09.555 UTC,5722920065433600,Miranda,Baruta,5
2020-10-24 17:46:07.795 UTC,5722920065433600,Distrito Capital,Libertador,7
2020-10-24 17:42:48.941 UTC,4733525250539520,Distrito Capital,Libertador,1
2020-10-24 15:44:52.469 UTC,5294660778196992,Distrito Capital,Libertador,2
2020-10-24 15:43:53.558 UTC,5714967692574720,Distrito Capital,Libertador,3
2020-10-24 15:01:20.773 UTC,5698395815804928,Distrito Capital,Libertador,1
2020-10-24 14:23:09.046 UTC,5841536169541632,Distrito Capital,Libertador,12
2020-10-24 14:08:06.134 UTC,5801241830752256,Distrito Capital,Libertador,2
2020-10-24 13:42:19.862 UTC,5822107754954752,Táchira,San Cristóbal,5
2020-10-24 13:01:17.152 UTC,4663604645462016,Miranda,Carrizal,3
2020-10-24 12:18:36.919 UTC,5854235757903872,Miranda,Chacao,6
2020-10-24 11:44:16.294 UTC,5344189491707904,Miranda,Guaicaipuro,9
2020-10-23 21:52:20.579 UTC,5380220711600128,Zulia,Mara,48
2020-10-23 21:33:12.992 UTC,5427730625069056,Miranda,Sucre,3
2020-10-23 21:21:56.711 UTC,5068198363267072,Táchira,Michelena,8
2020-10-23 19:13:16.523 UTC,5754531626876928,Miranda,Baruta,8
2020-10-23 19:09:24.302 UTC,5598474063577088,Zulia,Maracaibo,14
2020-10-23 18:27:10.381 UTC,4555993624346624,Zulia,Cabimas,7
2020-10-23 17:47:01.023 UTC,4514407737720832,Táchira,San Cristóbal,12
2020-10-23 17:44:27.097 UTC,4811969655209984,Distrito Capital,Libertador,2
2020-10-23 17:32:21.304 UTC,6446867203489792,Táchira,San Cristóbal,12
2020-10-23 17:21:29.377 UTC,5646607974924288,Miranda,Guaicaipuro,3
2020-10-23 17:07:30.517 UTC,5378859284824064,Táchira,San Cristóbal,6
2020-10-23 16:57:02.491 UTC,5368100569743360,Miranda,Guaicaipuro,2
2020-10-23 16:48:50.688 UTC,4644006945619968,Miranda,Chacao,0
2020-10-23 16:19:10.217 UTC,5235884095176704,Miranda,Carrizal,1
2020-10-23 16:03:55.871 UTC,5395758899789824,Zulia,Maracaibo,12
2020-10-23 15:27:58.911 UTC,6656704810057728,Miranda,Carrizal,8
2020-10-23 14:15:51.985 UTC,5057744840425472,Zulia,Cabimas,12
